patch_id,tile,lon,lat,dominant_class,complexity,entropy
0,35MRT,848139.9999791873,-214580.00003029776,Built_Up_Area,homogeneous,0.35722475546111265
1,35MRT,845899.9999791873,-216820.00003029776,Built_Up_Area,homogeneous,0.3172118860306941
2,35MQU,750359.9999682134,-186240.00004559453,Built_Up_Area,homogeneous,0.3740082427607354
3,35MRT,845899.9999791873,-219060.00003029776,Built_Up_Area,homogeneous,0.19005343773073224
4,35MRT,841419.9999791873,-212340.00003029776,Built_Up_Area,homogeneous,0.44461732491284645
5,35MQU,792919.9999682134,-166080.00004559453,Built_Up_Area,homogeneous,0.42379047317173063
6,35MQU,750359.9999682134,-184000.00004559453,Built_Up_Area,homogeneous,0.25581117790199526
7,35MRT,850379.9999791873,-221300.0000302978,Built_Up_Area,homogeneous,0.45037773082805493
8,35MRT,841419.9999791873,-216820.00003029776,Built_Up_Area,homogeneous,0.4180662828457701
9,35MRT,843659.9999791873,-219060.00003029776,Built_Up_Area,homogeneous,0.3663404941853388
10,35MRT,839179.9999791873,-219060.00003029776,Built_Up_Area,homogeneous,0.3502957255418694
11,35MRT,843659.9999791873,-223540.0000302978,Built_Up_Area,homogeneous,0.4142545757037954
12,36MTC,879473.0706216183,-199635.10640709675,Built_Up_Area,moderate,0.9801076277709352
13,35MRT,807819.9999791873,-234740.0000302978,Built_Up_Area,moderate,1.1276343393941326
14,35MQT,804119.9999618995,-286260.0000075382,Built_Up_Area,moderate,1.0633171572075488
15,35MRT,868299.9999791873,-212340.00003029776,Built_Up_Area,moderate,1.152093079652335
16,35MQT,806359.9999618995,-232500.0000075382,Built_Up_Area,moderate,1.1421076184199468
17,35MRU,839179.9999978954,-208640.00000391336,Built_Up_Area,moderate,0.9694704862102412
18,35MQU,752599.9999682134,-184000.00004559453,Built_Up_Area,moderate,0.9276889237883393
19,35MRU,819019.9999978954,-177280.00000391336,Built_Up_Area,moderate,1.0566392932698732
20,35MRT,854859.9999791873,-214580.00003029776,Built_Up_Area,moderate,0.9311674804045624
21,35MRT,845899.9999791873,-212340.00003029776,Built_Up_Area,moderate,0.9757049137306946
22,36MTC,874993.0706216183,-251155.10640709678,Built_Up_Area,moderate,1.0905381141360257
23,35MQT,808599.9999618995,-248180.0000075382,Built_Up_Area,moderate,1.064302321180642
24,35MRT,839179.9999791873,-210100.00003029776,Built_Up_Area,moderate,0.7547758278675181
25,35MRT,883979.9999791873,-214580.00003029776,Built_Up_Area,moderate,1.049908519795856
26,35MRT,879499.9999791873,-198900.00003029776,Built_Up_Area,moderate,0.9582714319179367
27,35MRT,848139.9999791873,-210100.00003029776,Built_Up_Area,moderate,0.8001944187830485
28,35MRT,852619.9999791873,-214580.00003029776,Built_Up_Area,moderate,0.9945650567675457
29,35MQU,770519.9999682134,-179520.00004559453,Built_Up_Area,moderate,0.9293487271910905
30,36MTD,870942.7512296876,-144178.61745336925,Built_Up_Area,moderate,0.9435185990587902
31,35MRU,803339.9999978954,-157120.00000391336,Built_Up_Area,moderate,0.9929517055128869
32,35MRT,841419.9999791873,-203380.00003029776,Built_Up_Area,moderate,0.9792888994270843
33,35MRT,859339.9999791873,-216820.00003029776,Built_Up_Area,moderate,1.1383621105724433
34,35MRU,841419.9999978954,-175040.00000391336,Built_Up_Area,moderate,1.0851673668738027
35,35MRT,890699.9999791873,-210100.00003029776,Built_Up_Area,moderate,0.5779006938955863
36,35MRT,845899.9999791873,-214580.00003029776,Built_Up_Area,moderate,0.6295568417394992
37,35MQT,808599.9999618995,-257140.0000075382,Built_Up_Area,moderate,1.1714783856082713
38,35MRT,852619.9999791873,-212340.00003029776,Built_Up_Area,moderate,0.7601281821622343
39,35MRT,841419.9999791873,-232500.0000302978,Built_Up_Area,moderate,0.8725560190373673
40,35MRT,841419.9999791873,-221300.0000302978,Built_Up_Area,moderate,0.8848123548054215
41,35MRT,836939.9999791873,-221300.0000302978,Built_Up_Area,moderate,1.0840908328793712
42,35MRU,836939.9999978954,-208640.00000391336,Built_Up_Area,moderate,1.1015834971413585
43,35MRT,805579.9999791873,-259380.0000302978,Built_Up_Area,moderate,1.1362129471854414
44,35MRT,843659.9999791873,-207860.00003029776,Built_Up_Area,moderate,0.9037207532738732
45,35MQU,804119.9999682134,-157120.00004559453,Built_Up_Area,moderate,0.9605834474363941
46,35MQT,806359.9999618995,-230260.0000075382,Built_Up_Area,moderate,1.030126216277144
47,35MRT,845899.9999791873,-207860.00003029776,Built_Up_Area,moderate,0.8568195344698416
48,35MRT,857099.9999791873,-214580.00003029776,Built_Up_Area,moderate,0.7570027083379604
49,35MRT,843659.9999791873,-205620.00003029776,Built_Up_Area,moderate,1.1580459209834633
50,35MRT,834699.9999791873,-205620.00003029776,Built_Up_Area,moderate,1.0969494275194105
51,35MRT,852619.9999791873,-219060.00003029776,Built_Up_Area,moderate,0.8937119096500877
52,35MRT,839179.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.6170609237365525
53,35MRU,810059.9999978954,-181760.00000391336,Built_Up_Area,moderate,1.0024738782522833
54,35MRT,852619.9999791873,-236980.0000302978,Built_Up_Area,moderate,0.9964956852560349
55,35MRT,823499.9999791873,-221300.0000302978,Built_Up_Area,moderate,1.0848639655517893
56,35MRT,843659.9999791873,-221300.0000302978,Built_Up_Area,moderate,0.6466584884878286
57,35MRT,843659.9999791873,-225780.0000302978,Built_Up_Area,moderate,0.604784727524119
58,35MRT,854859.9999791873,-223540.0000302978,Built_Up_Area,moderate,0.9247093248977967
59,35MRT,805579.9999791873,-292980.0000302978,Built_Up_Area,moderate,1.067785431276375
60,36MTD,879902.7512296877,-135218.61745336925,Built_Up_Area,moderate,0.9223104702144326
61,35MRT,810059.9999791873,-250420.0000302978,Built_Up_Area,moderate,1.0453654293012282
62,35MRT,866059.9999791873,-210100.00003029776,Built_Up_Area,moderate,1.1832626938256152
63,35MRT,843659.9999791873,-239220.0000302978,Built_Up_Area,moderate,0.9820331515863737
64,35MRT,845899.9999791873,-221300.0000302978,Built_Up_Area,moderate,0.8067724612674281
65,35MRT,832459.9999791873,-219060.00003029776,Built_Up_Area,moderate,1.1638473355843941
66,35MRT,836939.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.8815797093567682
67,35MRT,839179.9999791873,-212340.00003029776,Built_Up_Area,moderate,0.8946379109674436
68,36MTC,881713.0706216183,-217555.10640709675,Built_Up_Area,moderate,0.8548129370943942
69,35MRT,843659.9999791873,-210100.00003029776,Built_Up_Area,moderate,1.111230866126365
70,35MQU,795159.9999682134,-166080.00004559453,Built_Up_Area,moderate,1.1086088745767337
71,35MQU,752599.9999682134,-186240.00004559453,Built_Up_Area,moderate,1.164346461553418
72,35MRT,807819.9999791873,-232500.0000302978,Built_Up_Area,moderate,1.1781091236889667
73,35MRU,803339.9999978954,-154880.00000391336,Built_Up_Area,moderate,0.9804730311512906
74,35MRU,836939.9999978954,-206400.00000391336,Built_Up_Area,moderate,1.0492153712353032
75,35MQT,806359.9999618995,-292980.0000075382,Built_Up_Area,moderate,1.1353630058400883
76,35MRT,845899.9999791873,-241460.0000302978,Built_Up_Area,moderate,0.9076185561742517
77,35MQU,766039.9999682134,-181760.00004559453,Built_Up_Area,moderate,1.1991052788281342
78,35MRT,854859.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.845442276592887
79,35MRT,810059.9999791873,-263860.0000302978,Built_Up_Area,moderate,1.1053694633502382
80,35MRT,823499.9999791873,-212340.00003029776,Built_Up_Area,moderate,1.1166077141463158
81,35MQT,761559.9999618995,-230260.0000075382,Built_Up_Area,moderate,1.0411702014828301
82,35MRT,805579.9999791873,-290740.0000302978,Built_Up_Area,moderate,0.878775781723812
83,35MRT,843659.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.7483216975261755
84,35MRT,850379.9999791873,-219060.00003029776,Built_Up_Area,moderate,0.739565181717126
85,35MRU,807819.9999978954,-150400.00000391336,Built_Up_Area,moderate,0.9675553867157116
86,35MRT,807819.9999791873,-248180.0000302978,Built_Up_Area,moderate,1.1989793183000406
87,35MRT,850379.9999791873,-212340.00003029776,Built_Up_Area,moderate,0.591062070685666
88,35MRU,816779.9999978954,-201920.00000391336,Built_Up_Area,moderate,1.041899964942528
89,35MRT,848139.9999791873,-212340.00003029776,Built_Up_Area,moderate,1.0915280572932637
90,35MQU,777239.9999682134,-175040.00004559453,Built_Up_Area,moderate,0.9908776096038302
91,35MQT,806359.9999618995,-286260.0000075382,Built_Up_Area,moderate,1.1616043951163038
92,35MQU,788439.9999682134,-166080.00004559453,Built_Up_Area,moderate,1.11210144887353
93,35MQU,761559.9999682134,-186240.00004559453,Built_Up_Area,moderate,1.1917261402886892
94,35MQU,801879.9999682134,-152640.00004559453,Built_Up_Area,moderate,1.0847356919660158
95,36MTD,879902.7512296877,-197938.61745336922,Built_Up_Area,moderate,1.0790647070109232
96,35MRT,843659.9999791873,-214580.00003029776,Built_Up_Area,moderate,0.979768245969158
97,35MRT,854859.9999791873,-212340.00003029776,Built_Up_Area,moderate,1.0310813968322121
98,35MQU,806359.9999682134,-152640.00004559453,Built_Up_Area,moderate,0.8746781048161645
99,35MRT,848139.9999791873,-223540.0000302978,Built_Up_Area,moderate,1.008650067219439
100,35MRU,801099.9999978954,-159360.00000391336,Built_Up_Area,moderate,0.9715302892560301
101,35MRT,830219.9999791873,-219060.00003029776,Built_Up_Area,moderate,1.107863879703543
102,35MQU,801879.9999682134,-154880.00004559453,Built_Up_Area,moderate,1.045857716837394
103,35MRT,839179.9999791873,-207860.00003029776,Built_Up_Area,moderate,1.0735259389662322
104,35MRT,850379.9999791873,-216820.00003029776,Built_Up_Area,moderate,1.0100119272213763
105,35MRT,830219.9999791873,-214580.00003029776,Built_Up_Area,moderate,1.0577732050897442
106,35MRT,848139.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.680790780497359
107,35MQU,754839.9999682134,-186240.00004559453,Built_Up_Area,moderate,0.9432111303494863
108,35MRU,890699.9999978954,-208640.00000391336,Built_Up_Area,moderate,1.0511428131309037
109,35MRT,877259.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.9262709045457127
110,35MRT,857099.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.9153373564096157
111,35MQS,723479.9999815882,-298920.00004478084,Built_Up_Area,moderate,0.9306241749318176
112,35MQT,723479.9999618995,-297460.0000075382,Built_Up_Area,moderate,1.1372816142870041
113,35MRT,830219.9999791873,-216820.00003029776,Built_Up_Area,moderate,0.952316582106308
114,35MQU,804119.9999682134,-154880.00004559453,Built_Up_Area,moderate,0.9901142413780843
115,35MRT,841419.9999791873,-234740.0000302978,Built_Up_Area,moderate,0.8197696897688679
116,35MRT,843659.9999791873,-230260.0000302978,Built_Up_Area,moderate,1.0183480709119737
117,35MRT,850379.9999791873,-243700.0000302978,Built_Up_Area,moderate,0.7356876521171538
118,35MRT,861579.9999791873,-219060.00003029776,Built_Up_Area,moderate,0.5833502842634466
119,35MRT,839179.9999791873,-254900.0000302978,Built_Up_Area,moderate,0.9871515722279562
120,35MRT,836939.9999791873,-219060.00003029776,Built_Up_Area,moderate,1.0628650460620592
121,35MRT,859339.9999791873,-219060.00003029776,Built_Up_Area,moderate,0.8484560931070695
